;VlrCond;Garagem;Preco;Quarto;M2;Bairro
291;690;1;980000;1;44;Savassi
292;220;1;175000;2;44;Jardim America
293;0;0;195000;3;44;Havai
294;0;1;194000;2;44;Milionarios
295;0;0;466500;2;45;Centro
296;0;1;480000;2;45;Centro
297;10;1;189000;2;45;Piratininga Venda Nova
298;10;1;199000;2;45;Piratininga Venda Nova
299;100;1;169000;2;45;Rio Branco
300;100;1;189000;2;45;Jardim Leblon
301;10;1;219000;2;45;Sao Joao Batista
302;0;1;145000;2;45;Sao Joao Batista
303;200;1;149000;2;45;Sao Joao Batista
304;10;1;215000;2;45;Santa Monica
305;150;1;159900;2;45;Floramar
306;170;1;199000;2;45;Santa Amalia
307;10;1;274900;2;45;Santa Amalia
308;130;1;129000;2;45;JardimVitoria
309;165;1;230000;2;45;Minaslandia
310;285;1;420000;3;45;Castelo
311;155;1;175000;2;45;Vila Cloris
312;1;1;230000;3;45;Caicaras
313;160;1;260000;2;45;Sagrada Familia
314;487;1;2400;1;45;Centro
315;430;1;420000;1;45;Centro
316;0;0;550;1;45;Centro
317;365;0;270000;2;45;Santa Tereza
318;0;0;300000;1;45;Funcionarios
319;180;2;180000;2;45;Carlos Prates
320;300;0;189999;1;45;Centro
321;480;0;190000;2;45;Barro Preto
322;750;1;880000;1;45;Santo Agostinho
323;0;0;220000;1;45;Santa Efigenia
324;0;1;560000;1;45;Lourdes
325;469;1;1600;1;45;Lourdes
326;817;1;310000;1;45;Estoril
327;0;2;400000;1;45;Nova Granada
328;600;1;450000;1;45;Funcionarios
329;700;2;495000;1;45;Cruzeiro
330;570;1;450000;1;45;Santo Antonio
331;220;1;175000;2;45;Jardim America
332;300;1;220000;2;45;Buritis
333;200;0;200000;1;45;Buritis
334;200;0;220000;1;45;Buritis
335;250;1;188000;2;45;Diamante
336;300;1;149900;2;45;Diamante
337;1;1;110000;2;45;Solar do Barreiro
338;0;1;130000;2;45;Solar do Barreiro
339;0;1;453500;2;46;Centro
340;0;1;501509;2;46;Centro
341;10;1;275000;2;46;Candelaria
342;10;1;278000;2;46;Candelaria
343;170;1;160000;2;46;Juliana
344;0;1;209000;2;46;Venda Nova
345;10;2;289000;2;46;Sao Joao Batista
346;140;0;160000;2;46;Ceu Azul
347;1;1;210000;2;46;Planalto
348;0;0;168480;2;46;Maria Tereza
349;330;1;175000;2;46;Carlos Prates
350;400;1;550000;1;46;Lourdes
351;0;0;300000;2;46;Centro
352;687;0;385000;1;46;Funcionarios
353;0;1;270000;1;46;Santo Agostinho
354;0;1;270000;2;46;Gutierrez
355;0;1;275400;2;46;Gutierrez
356;190;1;180000;2;46;Gameleira
357;0;2;413174;1;46;Buritis
358;0;0;450000;1;46;Buritis
359;280;1;219000;2;46;Palmeiras
360;0;2;410690;1;46;Buritis
361;0;2;450000;1;46;Buritis
362;0;1;214600;2;46;Palmeiras
363;250;1;250000;2;46;Jardim America
364;200;1;230000;2;47;Maria Helena
365;185;1;140000;2;47;Piratininga Venda Nova
366;80;1;185000;2;47;Jardim Leblon
367;125;1;120000;2;47;JardimVitoria
368;0;0;171000;2;47;JardimVitoria
369;170;1;173000;2;47;Ouro Preto
370;220;1;160000;2;47;Jonas Veiga
371;0;0;340000;1;47;Santa Efigenia
372;750;1;490000;1;47;Lourdes
373;0;1;456976;2;47;Anchieta
374;150;1;220000;2;47;Betania
375;320;1;235000;2;47;Marajo
376;260;1;255000;2;47;Betania
377;0;0;270000;1;47;Estoril
378;0;1;215000;2;47;Diamante
379;283;1;176000;2;47;Mantiqueira
380;200;1;135000;2;48;Jaqueline
381;0;1;225000;2;48;Leticia
382;100;1;180000;2;48;Piratininga Venda Nova
383;155;1;150000;2;48;Piratininga Venda Nova
384;210;1;155000;2;48;Piratininga Venda Nova
385;200;0;140000;2;48;Piratininga Venda Nova
386;0;0;159000;2;48;Sao Joao Batista
387;0;1;225000;2;48;Santa Monica
388;10;1;300000;2;48;Vila Cloris
389;325;1;229000;2;48;Sao Tomaz
390;256;1;900;2;48;Dona Clara
391;233;1;800;2;48;Sao Francisco
392;275;1;190000;2;48;Jardim Paqueta
393;250;1;178500;2;48;Serrano
394;350;1;300000;2;48;Cidade Nova
395;320;1;750;2;48;Serrano
396;200;1;210000;2;48;Renascenca
397;175;1;210000;2;48;Salgado Filho
398;150;1;199900;2;48;Floramar
399;330;2;370000;2;48;Santa Tereza
400;200;0;1300;1;48;Floresta
401;735;2;690000;1;48;Lourdes
402;180;1;262000;2;48;Dom Bosco
403;550;1;495000;1;48;Savassi
404;615;1;510000;1;48;Savassi
405;0;1;150000;2;48;Camargos
406;350;1;167000;2;48;Camargos
407;150;1;160000;2;48;Camargos
408;0;1;250000;2;48;Jardim America
409;320;1;280000;2;48;Marajo
410;326;1;220000;2;48;Palmeiras
411;300;1;269000;2;48;Palmeiras
412;280;1;210000;2;48;Buritis
413;172;1;175000;2;49;Frei Leopoldo
414;10;1;190000;2;49;Piratininga Venda Nova
415;343;1;205000;2;49;Parque Sao Jose
416;213;1;155000;2;49;Santa Monica
417;10;1;240000;2;49;Santa Monica
418;10;1;310000;2;49;Santa Monica
419;80;1;190000;2;49;Santa Branca
420;0;1;245900;2;49;Planalto
421;150;1;185000;2;49;Copacabana
422;166;1;150000;2;49;Sao Gabriel
423;0;1;398805;1;49;Cidade Nova
424;0;2;890000;1;49;Savassi
425;245;1;300000;2;49;Castelo
426;0;2;700000;1;49;Barro Preto
427;0;2;415000;1;49;Nova Granada
428;150;2;295000;2;49;Gutierrez
429;450;1;270000;2;49;Sao Pedro
430;0;1;453000;2;50;Centro
431;10;1;250000;2;50;Novo Leticia
432;10;1;199000;2;50;Mantiqueira
433;0;2;299000;3;50;Jardim Europa venda Nova
434;0;2;155000;2;50;Maria Helena
435;0;1;219500;2;50;Leticia
436;140;1;160000;2;50;Parque Sao Pedro Venda Nova
437;170;1;150000;2;50;Piratininga Venda Nova
438;0;1;205000;2;50;Piratininga Venda Nova
439;210;0;700;2;50;Venda Nova
440;150;1;148000;2;50;Ceu Azul
441;10;1;159000;2;50;Sao Joao Batista
