Price;Condo;Size;Rooms;Toilets;Suites;Parking;Elevator;Furnished;Swimming Pool;New;District;Negotiation Type;Property Type;Latitude;Longitude
1400000;800;83;2;3;2;2;1;0;1;0;Vila Olimpia/São Paulo;sale;apartment;-23.599.474;-46.675.614
1650000;1500;136;2;5;2;2;1;0;1;0;Vila Olimpia/São Paulo;sale;apartment;-23.599.257;-46.679.927
1195000;700;76;2;2;1;2;1;0;0;0;Vila Olimpia/São Paulo;sale;apartment;-23.598.468;-46.679.859
1200000;840;96;3;3;1;2;0;0;1;0;Vila Olimpia/São Paulo;sale;apartment;-23.598.272;-46.675.348
1950000;1500;111;3;4;1;2;0;0;1;0;Vila Olimpia/São Paulo;sale;apartment;-2.359.433;-46.688.316
3700000;2100;210;4;7;3;3;1;1;1;0;Vila Olimpia/São Paulo;sale;apartment;-23.600.786;-46.680.126
1100000;786;94;3;2;1;1;0;0;1;0;Vila Olimpia/São Paulo;sale;apartment;-23.592.874;-46.685.373
1155805;0;82;2;3;2;2;0;0;0;0;Vila Olimpia/São Paulo;sale;apartment;-23.596.742;-46.674.286
780000;0;85;3;2;1;1;0;0;0;0;Vila Olimpia/São Paulo;sale;apartment;-23.596.107;-46.675.538
1485000;1058;127;3;3;1;2;1;1;1;0;Vila Olimpia/São Paulo;sale;apartment;-23.600.103;-46.675.411
2400000;1600;138;3;5;3;2;1;0;1;0;Vila Olimpia/São Paulo;sale;apartment;-23.594.329;-46.688.316
1950000;500;136;3;5;3;3;1;0;1;0;Vila Olimpia/São Paulo;sale;apartment;-23.598.966;-46.688.512
807000;1488;105;3;3;1;1;1;0;0;0;Vila Olimpia/São Paulo;sale;apartment;-23.595.104;-46.676.923
2650000;0;206;4;1;4;3;0;0;0;0;Vila Olimpia/São Paulo;sale;apartment;-23.600.556;-46.674.643
1162756;0;95;3;3;1;2;1;0;1;0;Vila Olimpia/São Paulo;sale;apartment;-23.604.074;-46.675.494
1600000;0;112;3;3;1;2;1;0;1;0;Vila Olimpia/São Paulo;sale;apartment;-23.604.197;-46.678.332
775000;937;98;3;2;1;1;0;0;0;0;Vila Olimpia/São Paulo;sale;apartment;-23.602.791;-46.675.565
8000000;0;278;4;5;3;5;1;0;1;0;Vila Olimpia/São Paulo;sale;apartment;-23.596.469;-46.680.587
350000;972;33;1;2;1;1;1;1;1;0;Vila Olimpia/São Paulo;sale;apartment;-23.592.855;-46.687.697
8039200;0;278;4;7;4;4;1;1;1;0;Vila Olimpia/São Paulo;sale;apartment;-23.596.469;-46.680.587
590000;500;51;1;2;1;1;0;1;0;0;Vila Olimpia/São Paulo;sale;apartment;-23.596.689;-4.667.789
590000;500;51;1;2;1;1;0;1;0;0;Vila Olimpia/São Paulo;sale;apartment;-23.596.689;-4.667.789
1360000;0;115;3;4;3;2;1;0;1;0;Vila Olimpia/São Paulo;sale;apartment;-23.598.468;-46.679.859
1780000;2500;164;4;4;3;3;1;1;1;0;Vila Olimpia/São Paulo;sale;apartment;-23.598.769;-46.679.415
1106996;0;48;1;2;1;2;1;0;1;0;Vila Olimpia/São Paulo;sale;apartment;-23.596.525;-46.679.154
1053000;1729;60;2;2;1;1;0;1;1;0;Vila Olimpia/São Paulo;sale;apartment;-23.593.963;-46.688.757
1250000;729;81;2;3;2;2;1;0;1;0;Vila Olimpia/São Paulo;sale;apartment;-23.599.474;-46.675.614
610000;761;53;1;2;1;1;1;0;0;0;Vila Olimpia/São Paulo;sale;apartment;-235.989;-46.681.596
1297500;950;173;4;4;3;3;1;0;1;1;Mooca/São Paulo;sale;apartment;-235.598.941;-466.042.432
2180000;1500;221;4;4;3;4;1;0;1;0;Mooca/São Paulo;sale;apartment;-235.509.876;-465.909.082
940000;0;112;3;2;1;2;0;0;0;0;Mooca/São Paulo;sale;apartment;-23.561.876.297;-466.012.077.332
900000;800;120;3;3;2;3;0;1;1;0;Mooca/São Paulo;sale;apartment;-235.655.354;-466.018.887
880000;650;102;3;2;1;2;0;0;1;0;Mooca/São Paulo;sale;apartment;-235.485.189;-465.945.998
970000;701;126;3;4;3;2;0;1;1;0;Mooca/São Paulo;sale;apartment;-235.491.967;-46.595.386
699000;850;89;3;2;1;2;0;0;0;0;Mooca/São Paulo;sale;apartment;-235.618.983;-465.780.838
635000;920;98;3;2;1;2;0;0;1;0;Mooca/São Paulo;sale;apartment;-235.568.517;-466.043.505
915000;756;30;3;1;0;2;0;1;1;0;Mooca/São Paulo;sale;apartment;-235.582.057;-46.595.508
550000;780;80;3;2;1;2;0;0;1;0;Mooca/São Paulo;sale;apartment;-235.568.517;-466.043.505
365000;900;51;1;1;0;1;0;1;1;0;Mooca/São Paulo;sale;apartment;-235.578.196;-466.068.783
423500;950;90;3;2;0;2;0;0;0;0;Mooca/São Paulo;sale;apartment;-235.608.424;-4.659.463
750000;760;107;3;2;1;2;0;1;0;0;Mooca/São Paulo;sale;apartment;-235.603.888;-46.595.026
620000;0;83;3;2;1;1;0;0;1;0;Mooca/São Paulo;sale;apartment;-2.355.736;-466.046.844
800000;1200;120;4;2;1;2;0;0;1;0;Mooca/São Paulo;sale;apartment;-235.650.862;-465.910.806
